,questions,answers
0,"Q. 1. What is the meaning of development? Explain the two aspects of development? (Board Term-I, Term-I, C5JWEVD, 2015-16",Ans. Development refers to progress or improvement in life style. Important aspects of development are :  Different persons can have different developmental goals.  What may be development development for one may not be development for the other. It may even be destructive for others.  1½ × 2 = 3
1,"Q. 2. What is meant by economic development ? What are the two bases of measuring economic development of a country ? [Board Term-I Term-I DDE 2015-16, , 2011]","Ans. The quality of life depends upon the following factors :  money and material things.  presence of family members, friends and relatives.  good working atmosphere at the office.  an opportunity to learn.  a position of self respect in the the family.  a safe and secure environment.   1 × 3 = 3"
2,"Q. 2. What is meant by economic development ? What are the two bases of measuring economic development of a country ? [Board Term-I Term-I DDE 2015-16, , 2011]","Ans. The quality of life depends upon the following factors :  money and material things.  presence of family members, friends and relatives.  good working atmosphere at the office.  an opportunity to learn.  a position of self respect in the the family.  a safe and secure environment.   1 × 3 = 3"
3,Q. 4. “Money cannot buy all the goods and services that a person may need to live well”. Explain the statement with suitable examples. ,"Ans. Money cannot buy all the goods and services that a person may need to live well. Income by itself is not a completely adequate indicator of material goods and services that citizens are able to use. For example, normally, normally, money cannot buy a pollution - free environment or ensure that a person gets unadulterated medicines, unless a person can afford to shift to a community that already has all these things. Money may also not be able to protect individual from infections, disease, unless the whole of our community takes preventive  3 steps."
4,Q. 5. “People “People have conflicting developmental goals”. Support the statement with suitable example. ,"Ans. Different persons could have different as well as conflicting notions of a country’s development. In fact; two persons or groups of persons may seek things which are conflicting. To get more electricity, industrialists may want more dams. But this may submerge the land and disrupt the lives of people who are displaced - such as tribes. They might resent this and may prefer small check dams or tanks to irrigate their land.  3"
5,"Q. 6. Why do different individuals have different as well as conflicting notions of development goals ?  [Board Term-I, Term-I, , 2014, 2012] Explain common, different, and conflicting goals by giving appropriate examples.  “Different persons can have different developmental goals.” Support the statement with an example. [Board Term-I, Term-I, , 2011]","Ans. Development goals may be common, different or conflicting :  Common Goals : There are some needs which are common to all like income, freedom, equality, security, respect, friendship etc.  Different Goals : Development or progress does not mean the same thing for every individual. Each individual has his own idea of development. For example, development for a farmer might be irrigation facilities; for an unemployed youth it may mean employment opportunities, etc.  Conflicting Goals : What may be development for some may become destruction for some others. Example : Industrialists may want dams for electricity but such dams would displace the natives of a region by submerging their land.  1×3=3"
6,"Q. 7. Describe any three features of a developed [Board Term-I erm-I,, , 2013] country.","Ans.  High per capita income.  High HDI.  Greater focus on economic growth rather than development.  High standard of living.  Most of the population has access to basic healthcare and education.  High quality of life parameter parameter — including freedom, equal opportunities etc.  ½×6=3"
7,Q. 8. Which three development goals will you like to prescribe for rural labourers? ,Ans. Three development goals for rural labourers :  More days of work and better wages.   Local schools to provide provide quality quality education education for their children. There will be no social discrimination. 1 × 3 = 3 
8,"Q. 9. State the criterion used by the World Bank as per World Development Report 2012, in classifying the countries. How did the World Bank define low and high income countries (based on this [Board Term-I erm-I,, KVS-2014 KVS-2014]] report) ?",Ans.  The World Bank defined low and high income countries according to per capita incom e .  Countries with per per capita capita income of US $ 12616 12616 per annum and above are called rich countries.  Countries with per capita income of US $ 1035 1035 or less are called low-income or poor countries.
9,Q. 10. Explain the role of education and health in the overall development of a country country.. ,"Ans.  Role of education : It plays a vital role in the overall development of a human being and society, therefore stress on imparting education has been given up in our constitution.  Role of Health : The general health standard in India is quite low. This is quite inevitable as nearly one fourth of the population lives below the poverty line.  A community : based programme on health care and medical services in rural areas are launched. As a result of these efforts, there has been a fall in the incidence of certain diseases like tuberculosis, leprosy and polio.  1×3=3"
10,"Q. 11. “For development, people look at a mix of goals”. Support the statement with three suitable examples. ","Ans. It is true true that for development, people look at a mix of goals, e.g. :  If women women are engaged in paid work, their dignity in the household and society increases. So dignity is an important goal.  However, it is also the case that if there there is respect for women there would be more sharing of housework and greater acceptance of women working outside.  A safe and secure environment may allow more women to take up a variety of jobs or run a business. These are goals other than income. Hence development goal is not only for better income but for other important things in life."
11,Q. 12. Mention any three characteristics of development.,"Ans. Characteristics of Development :  What may be development for one may not be development for the others.  For development, people look at mix goals.  Income is the most important component of development, but along with income, people also seek equal treatment, good health, peace and security, etc."
