questions,answers
What is a homologous series of carbon compounds ? ,"A homologous series is the family of organic compound having the same functional group, and the successive  members of which differ by CH2 unit or 14 mass unit. "
Write the molecular formula of first two members of homologous series having function group – Cl. ,The molecular formula of two consecutive members of this series is : CH3Cl  C2H5Cl 
Write the molecular formula of first two members of homologous series having functional group – Br. ,The molecular formula for two consecutive members of this series are : CH3Br  C2H5Br 
Write the molecular formula of first two members of homologous series having functional group – OH. ,The molecular formula for two consecutive member of this series is : CH3OH  C2H5OH  nd
Write the molecular formula of the 2 and the 3rd member of the homologous series whose first member is methane. ,Ethane  Propane 
Write the molecular formula of the 2nd and 3rd member of the homologous series whose first member is ethane. ,Propane  Butane 
Write the molecular formula of the 2nd and 3rd member of the homologous series where the first member is ethyne. ,Propyne  Butyne 
"Write the next homologue of each of the following :  C2H4,  C4H6  "," C3H6,  C5H8. "
Write the name and formula of the 2nd member of homologous series having general formula CnH2n. ,Name — Propene Formula — C3H6 
Write the name and molecular formula of the first member of the homologous series of alkynes. ,"Ethyne, C2H2.  1"
Write the name and formula of the 2nd member of homologous series having general formula CnH2n+2 ,Name — Ethane Formula — C2H6 
Molecular formula of a hydrocarbon is C3H8. Draw its complete structure and write its name. ,H—C—C—C—H The name of the hydrocarbon is propane.  ½+½
"Write next two members of the homologous series : C2H6, C3H8. ","C4H10, C5H12  ½+½"
"Which of the following belong to the same homologous series ?  C3H8, C4H8, C4H6, C3H6","C4H8, C3H6. "
How does carbon attain noble gas configuration ? ,Carbon can form bond by sharing of its electrons with the electrons of other carbon atom or with other element and attain noble gas configuration. 1
Name the first member of ketones. ,The first member of ketone – Propanone.
Write the name of each of the following functional groups :   —OH  — C —, Alcohol  Ketone. 
Write the number of covalent bonds in the molecules of butane C4H10. ,Thirteen covalent bonds. 
Name the process of converting vegetable oil to vegetable ghee. ,Hydrogenation. 
Write the number of covalent bonds in the molecule of Ethane. ,Seven covalent bonds. 
"Write the number of covalent bonds in the molecule of Propane, C3H8 ",Ten covalent bonds. 
Name the process by which unsaturated fats are changed to saturated fats. ,Hydrogenation. 
Name the functional group present in CH3COCH3 and state the name of this compound. ,"Functional group : Ketone, name of the compound : Propanone. "
"Name a functional group present in  CH3CHO,  C2H5COOH. "," Aldehyde,  Carboxylic acid."
"Write the molecular formula of the following :  Hexane,  Benzene. ", Hexane : C6H14  Benzene : C6H6  ½+½
"Write the formula of functional group :  aldehyde,  alcohol. ", Aldehyde : — C  Alcohol : — OH 
Given below are the formulae of some functional groups : —C —C Write the name of these functional groups. ,"Aldehyde, ketone.  ½+½"
Mention the percentage of carbon in earth’s crust. ,0.02%  1 
