,questions,answers
0,"Q. 1. Describe any five features of land reclamation in Bombay. [Board Term-I, Term-I, , 2016-17]","Ans.  In 1784, William Hornby approved the building of the great sea wall which prevented the flooding of the low-lying areas of Bombay.  In 1864, the Back Bay Reclamation Reclamation company won the right to reclaim the western foreshore from the tip of Malabar Hill to the end of Colaba.  Reclamation often meant the leveling of the hills around Bombay. 5 marks each  As the population increased rapidly rapidly in the early 20th century, every bit of the available area was built over and new areas were reclaimed from the sea.  A successful reclamation project was undertaken by the Bombay Port Trust between between 1914 and 1918.  The famous Marine Drive of Bombay was  1 × 5 = 5 developed subsequently.  WORK, LIFE AND LEISURE"
1,"Q. 2. “City development occurred everywhere at the expense of ecology and environment”. Substantiate your answer with suitable Term-I, , 2016-17] examples. [Board Term-I,","Ans.  In the process of development of cities, natural features were flattened out and transformed in response to the growing demand for space for factories, housing and other institutions.  Large quantities of waste material and refuge polluted the air, water.  Excessive noise became a feature of urban life.  Widespread use of coal in homes and industries in 19th century England raised serious problems in industries cities like Leeds, Bradford and Manchester.  In India Calcutta  too had a long history of pollution.  High levels of pollution were a consequence of the use of dung and wood as a fuel.  The main polluters were the industries and establishments that used coal.  1×5=5 "
2,Q. 3. Describe any five causes of the expansion of Bombay in the 19th century. ,"Ans.  With the growth of trade in cotton and opium, large communities of traders and bankers as well as artisans and shopkeepers came to settle in Bombay.  The establishment of textile mills led to a fresh surge in migration.  Large numbers flowed in from the nearby district of Ratnagiri to work in the Bombay mills.  Bombay dominated the maritime trade of India till well into the twentieth century.  It was also at the junction head of two major railways.  The railways encouraged an even higher scale of migration into the city.  Famine in the dry regions of Kutch drove large numbers of people into Bombay in 1888-89.   What led to the major expansion of Bombay’s"
3,"Q. 4. population in the mid-nineteenth century ?  [Board Term-I, Term-I, , 2011] ‘A large number of migrants were attracted to Bombay in the 20th century.’ Explain the statement. [Board Term-I, Term-I, DDE-2015, Set-E]","Ans.  Bombay became the capital city of the Bombay presidency in 1819, hence more people began to settle in Bombay.  Growth of trade in cotton and opium led large communities of traders, bankers, artisans and shopkeepers to settle in Bombay.  In 1854, cotton mills were were established in Bombay. Most of the workers came from o utside.  Large number of people came to work at the seaport and the railways which encouraged migration.  Famines in dry regions brought more people to Bombay. Bombay attracted many people to work in films too."
4,"Q. 5. Describe the features features of the big modern city of Calcutta  as viewed by the Gods in the novel written by Durgacharan Roy.  [Board Term-I, Term-I, , 2014]","Ans. In ‘Debganer Martye Agaman’ Brahma visits the city of Calcutta along with other Gods. They saw distraction by the train, large ships in the Ganga, factories, bridges, monuments, shops and the variety of goods sold in shops. However, they were disturbed to see cheats and thieves, poverty, poor housing, confusion of caste, religious and gender identities in the city. Brahma himself was tricked into buying a cheap pair of glasses. Durgacharan Ray describes the contrasting images and experience like wealth and poverty, splendour and diet, opportunities and disappointments that the cities offered."
5,Q. 6. Describe the social life of people in . ,"Ans.  The city of Bombay was over crowded. As such, there was an interdependence among people.  The homes were small, so streets and neighbourhood were used for a variety of activities and social functions.  The rich people lived in spacious bungalows.  The working people lived in the thickly-populated chawls of Bombay.  Shortage of water was a common phenomenon.  Lower caste people found it difficult to find  1×5=5 housing."
6,Q. 7. Why has city life always attracted attracted those seeking freedom and opportunity ? Explain. ,"Ans.  The city life symbolized freedom from the collective social values which people were compelled to follow in their villages.  There were numerous caste and community rules in the rural set-up which were banished when people moved to cities.  People became more free and they carried new ways of living.  The public transport system and multistoreyed multistoreyed housing loosened traditional regulations and people learned to live in multiethnic and multicultural environment brought from different places by migrants to the city.  The city symbolized self made people who came here to pursue their dreams.  City culture bought a wave of individualism and were supposed to be quite organised than the rural areas, so people who migrated found it  1×5=5 attractive. "
7,Q. 8. What were ‘Chawls’ ? Describe the living conditions in chawls of Bombay.  Describe the life of people who lived in the Chawls of Bombay . ,"Ans. Chawls were the multi-storeyed structures built and owned by private landlord such as merchants, bankers and building contractors. Each chawl was divided into smaller one - room tenements.  No private toilets. Many families could reside reside at a time in a tenement.  People used to keep windows closed because of the close proximity to filthy putter, buffalo stables etc.  Due to water scarcity the people quarrelled every morning for a turn at the tap. Streets and neighbourhood areas were used for activities such as cooking, washing, sleeping.  Liquor shops and Akharas came up in empty spaces. Streets were used for leisure activities.  Chawls were also a place for exchanging news about strikes, riots, demonstrations, etc. 1×5=5 "
8,Q. 9. Explain any four causes of air pollution in Calcutta in the 19th century and early 20th century. Which body controlled industrial pollution in Bengal ?  Calcutta  had a long history of ‘air pollution’. Explain any five reasons for it. ,"Ans. Causes :  Huge population depended on dung and wood as fuel in their daily life.  The industries and establishments that used steam engines were run on coal.  In 1855, the introduction of railway brought coal from Raniganj which had high content of ash. It also polluted the air.  The fog in the city combined with smoke to create thick smog.  Due to marshy land, the resulting fog combined with smoke to generate thick smog. Bengal Smoke Nuisance Commission controlled industrial pollution in Bengal. "
9,Q. 10. Why were reclamation projects undertaken in Bombay ? Explain any two such projects.  Why was the land reclamation in Bombay necessary ? Mention any two land reclamation projects taken up in Bombay Bombay..,"Ans. The Reclamation in Bombay was necessary because :  When the islands of Bombay passed into British hands, the East India Company shifted its base from Surat to Bombay. Thus, Bombay became a major outlet for exports and it also became an important administration centre in Western India and by the end of the 19th century a major industrial centre.  With the growth of trade in cotton and opium large communities of traders and bankers as well as artisans and shopkeepers came to settle in Bombay.  Bombay dominated the maritime trade of India till the twentieth century.  The railways encouraged an even higher scale of migration into the city. For instance, famine in dry region of Kutch drove large numbers of  people into Bombay in 1888-89. Land Reclamation Projects :  Back Bay Reclamation : In 1864, the Back Bay Reclamation Company won the right to reclaim the western foreshore from the tip of Malabar hill to the end of Colaba.  Bombay Port Trust : A successful Reclamation project was undertaken by the Bombay Port Trust, which built a dry between 1914 and 1918 used the excavated earth to create the 22 acre Ballard Estate. Subsequently the famous Marine Drive of Bombay was developed.  3+2=5 mean by “Land Reclamation”? Reclamation”?"
