questions,answers
What are ionic compounds ? List two properties of these compounds. ,The compounds which have bonds formed by loss and gain of electrons are called ionic compounds or electrovalent compound and the bond formed is known as ionic bond or electrovalent bond. Two properties of ionic compounds :  Ionic compounds are hard and brittle.  Ionic compounds have high melting and boiling points.
Why do ionic compounds have high melting points ? State reason. ,"In ionic compounds, cations and anions are held together by strong electrostatic forces of attraction. Hence large amount of energy is required to overcome these forces. "
Define amphoteric oxides. Give two examples of such oxides. ,Oxides which show both acidic and basic behaviour and oxides that react with both acids as well as bases to produce salts and water. Example : Al2O3 and ZnO. 
Define ionic compounds. Ionic compounds conduct electricity only in the molten state and not in solid state. Why ? ,"The compounds formed by the transfer of electrons from a metal to a non-metal are called ionic compounds. Ionic compounds in the solid state do not conduct electricity because movement of ions in the solid is not possible due to their rigid structure, but in the molten state ions move freely. "
"What is meant by refining of metals ? In the electrolytic refining of metal M, name the cathode, anode and the electrolyte. ",Refining — Removal of impurities from the metal ½ Cathode — Pure metal Anode — Impure metal Electrolyte — Salt solution of the metal. 
Why is pure gold not suitable for making ornaments ? ,Gold in an extremely malleable metal. Pure gold is too soft to make jewellery out of it. Hence 24 Karat pure has to be mixed with other metals to make it hard gold enough to be used as jewellery piece. 2 
Why electrical wires are coated with PVC  ? ,Electric wires and cables are coated with substance like PVC to prevent from electric shock since PVC is insulator . and it does not conduct electricity it is therefore on excellent material to use for electrical applications such as insulation sheathing for cables.
Why do we apply oil on iron hook kept in storage ? ,"Oils help to prevent corrosion by excluding moisture and oxygen from the metal surface. All metals will form a thin layer of oxide on the surface and oil etc. can penetrate into this, helping to stabilise it and prevent destructive corrosion."
Why should the metal sulphides and carbonates be converted to metal oxides in the process of extraction of metal from them ? ,"It is easier to obtain metals from their oxides rather than from carbonates or sulphides. So, the ore is first converted into an oxide. A carbonate ore is first converted into oxide ore by calcination. A Sulphide ore is converted into oxide ore by roasting."
Explain the steps for extraction of copper from its sulphide ore. Write the balanced equations involved in the process.  Heat, 2Cu 2S + 3O2  → 2Cu 2O + 2SO2  Heat → 6Cu + SO2   2Cu 2O + Cu 2S  
Write symbols of cation and anion present in MgO. Why do ionic compounds have higher melting points ? ,Cation : Mg++ Anion : O– – Ionic compounds have high melting point because cations and anions are held by strong electrostatic force of attraction and considerable amount of energy is required to break the strong inter ionic forces.  1
Name a metal/non-metal :  Which makes iron hard and strong ?  Which is alloyed with any other metal to make an amalgam ?  Which is used to galvanise iron articles ?  Whose articles when exposed to air form a black coating ?  METALS AND NON-METALS, Carbon  Mercury  Zinc  Silver 
A metal ‘M’ is found in nature as its carbonate. It is used in the galvanization of iron. Identify ‘M’ and name its ore. How will you convert this ore into free metal ? ,Zinc Ore of zinc is zinc blend . Sulphide ore is heated below its melting point in the presence of air to convert it into metal oxide. It is called Roasting. Roasting 2ZnS + 3O2 → 2ZnO + 2SO2 Reduction of oxide ore : It is the process of conversion of metal oxide ore into metal. It can be done by heating the oxides. ZnO + C → Zn + CO
