,questions,answers
0,Q. 1. Mention any one development as goal of land less rural labourers.  		What is the development goal of rural people of India as per your viewpoint ? ,Ans.		Any one development goals of landless rural labourers can be :  Regular income.  Regular job.  Small piece of land.  Equal status in society.  1
1,"Q. 2. In what respect is the criterion used by the UNDP for measuring development of the countries, different from the one used by the World Bank? ","Ans. UNDP compares countries on educational level, health status and per capita income whereas. World Bank uses only per capita per capita income for measuring development.  1"
2,"Q. 3. If there are 4 families in a country with per capita income of $ 15000. The income of 3 families is $ 10000, $ 20000, and $ 12000. What is the income of the 4th family ? ",Ans. $ 18000.
3,Q. 4. What is the advantage of per capita income ? Mention any one. ,Ans. It is the most appropriate criterion of measuring the development of any country. 1 mark each
4,Q. 5. How is the average income of a country calculated ? ,Ans. Dividing the total income of the country by its total population.
5,"Q. 6. According to the World Bank , which country would be classified as a low income country ? ",Ans. Any country with percapita income of US $ 1035 or less .
6,Q. 7. What is the most common indicator for measuring economic development of a country ?  Or 		Which is a useful measure for comparison between countries ? Or 		Which factor determines the development of a country ? Or Which income is also called average income ?,Ans. Per Capita Income.
7,Q. 8. Into how many categories the World Bank has classified the countries ?,Ans. Three.
8,Q. 9. Which area of the world has the largest crude oil reserves ?,Ans. Middle East.
9,Q. 10. Which countries are called rich countries ?,Ans. Countries with per capita income of US $ 12616 and above.
