questions,answers
"What is Coliform ?  [Board Term II, Set (2008) A1, 2012]",It is a group of bacteria found in human intestine whose presence in water indicates contamination by disease causing micro-organisms. 
Define non-renewable sources of energy.,Non-renewable energy sources are which cannot be replaced easily when they get exhausted and are also called conventional sources of energy. Example : Fossil Fuels.
Name the most common practice used to recharge ground water. ,Rain water harvesting.
How does mining cause environmental pollution ? ,Mining causes pollution because of the large amount of the slag which is discarded for every tone of the metal extracted. 
Name two indigenous water saving methods. ,Digging small pits and lakes. 
List two measures that you would suggest for the better management of water resources. ,Two measures for the better management of water resources are : (i) Rainwater harvesting (ii) Construction of dams.
Mention one reason of discontentment among the people who have been displaced by building dams. ,It displaces large number of local people without adequate compensation and rehabilitation.
List two causes of pollution of river Ganga. ,"Major causes of pollution of river Ganga : (i) Release of industrial waste into the river. (ii) People use river water for domestic purposes and add pollutants like surf, detergents, soap to the river. (iii) People flow food items, images of gods and goddesses into the river due to ritualistic reasons. (Any two) ½+½"
"Water is a valuable resource. List two ways, that you would suggest every family member to save this resource. ",Turning-off the taps when not in use. Checking the leaking water pipelines and getting them repaired.
Why is reuse better than recycle ? ,Reuse is better than recycle as it saves energy.
List any two measures that you suggest for better management of water resources. ,Two change that can be made in our habits to reduce the consumption of electricity or water are : (i) Switch off light and fans when not in use. (ii) Leaked taps should be repaired immediately. ½+½
List any two traditional systems of water harvesting. ,Two traditional systems of water harvesting are : (i) Collection of water in ponds. (ii) Construction of small earthen dams.
State two change that you can make in your habits to reduce the consumption of electricity or water.  What measures would you take to conserve electricity in your house ? ,"We can be eco-friendly by : (i) Using the principal of 3 R’s i.e., Reduce, Reuse and Recycle. (ii) Putting off unnecessary light and fans. (iii) Practice rainwater harvesting."
Give two uses of coal.,Coal is used in thermal power stations and in steam engine.
